Diet,Meal,Category,Food_Item,Calories,Protein_g,Carbs_g,Fat_g
veg,Breakfast,beverage,Filter Coffee 5329,93,1,37,7
veg,Dinner,dry_veg,Mix Veg Dry 5330,167,6,16,5
veg,Dinner,flatbread,Bhatura 5331,250,3,31,1
veg,Breakfast,breakfast_item,Idli Sambar 5332,253,16,29,6
veg,Snack,snack,Dhokla 5333,62,6,8,7
veg,Dinner,dry_veg,Bhindi Fry 5334,202,5,19,6
non-veg,Snack,snack,Boiled Egg 5335,236,10,30,12
veg,Breakfast,breakfast_item,Muesli with Milk 5336,295,14,52,13
veg,Breakfast,beverage,Banana Smoothie 5337,131,3,25,10
veg,Lunch,rice,Veg Biryani 5338,379,7,51,6
veg,Lunch,dry_veg,Baingan Bharta 5339,125,2,23,8
veg,Dinner,dry_veg,Baingan Bharta 5340,113,9,15,10
veg,Snack,beverage,Green Tea 5341,67,3,23,1
veg,Breakfast,beverage,Green Tea 5342,120,1,34,5
veg,Breakfast,breakfast_item,Aloo Paratha 5343,494,8,36,9
veg,Lunch,flatbread,Roti 5344,119,5,27,4
veg,Dinner,flatbread,Missi Roti 5345,183,7,19,7
veg,Breakfast,beverage,Filter Coffee 5346,124,0,18,9
veg,Lunch,dry_veg,Mix Veg Dry 5347,122,9,21,15
veg,Dinner,soup,Hot and Sour Soup 5348,132,3,6,0
veg,Dinner,flatbread,Paratha 5349,249,2,22,6
veg,Dinner,dry_veg,Paneer Bhurji 5350,223,10,25,9
veg,Dinner,flatbread,Missi Roti 5351,247,8,20,9
veg,Lunch,beverage,Banana Smoothie 5352,98,5,29,3
veg,Lunch,rice,Lemon Rice 5353,362,6,68,9
veg,Dinner,flatbread,Butter Naan 5354,201,7,21,1
veg,Snack,beverage,Mango Shake 5355,181,5,34,6
veg,Dinner,flatbread,Chapati 5356,210,3,18,5
veg,Snack,snack,Dhokla 5357,81,3,19,6
veg,Lunch,flatbread,Methi Thepla 5358,182,6,30,2
veg,Dinner,flatbread,Missi Roti 5359,179,4,35,5
veg,Snack,beverage,Coconut Water 5360,80,4,26,7
veg,Dinner,dry_veg,Jeera Aloo 5361,181,9,20,13
veg,Dinner,dry_veg,Bhindi Fry 5362,170,2,24,5
veg,Breakfast,beverage,Banana Smoothie 5363,203,3,14,10
veg,Lunch,beverage,Orange Juice 5364,92,1,32,3
veg,Snack,snack,Bhel Puri 5365,284,6,14,13
veg,Breakfast,breakfast_item,Masala Dosa 5366,396,19,35,5
veg,Lunch,dry_veg,Mix Veg Dry 5367,144,2,15,7
veg,Dinner,soup,Lentil Soup 5368,72,2,10,4
veg,Snack,beverage,Filter Coffee 5369,222,3,25,8
veg,Breakfast,breakfast_item,Idli Sambar 5370,228,12,49,7
veg,Snack,beverage,Buttermilk (Chaas) 5371,94,3,20,6
veg,Dinner,soup,Sweet Corn Soup 5372,55,5,12,4
veg,Snack,beverage,Masala Chai 5373,153,4,28,2
veg,Lunch,beverage,Masala Chai 5374,124,1,12,9
veg,Breakfast,breakfast_item,Poha 5375,263,18,52,20
veg,Dinner,soup,Sweet Corn Soup 5376,144,7,11,3
veg,Lunch,salad,Chickpea Salad 5377,59,4,10,5
veg,Lunch,beverage,Masala Chai 5378,78,3,14,1
veg,Lunch,flatbread,Garlic Naan 5379,183,6,28,4
veg,Snack,snack,Makhana 5380,131,14,23,5
veg,Dinner,dry_veg,Baingan Bharta 5381,111,3,18,8
veg,Lunch,dry_veg,Paneer Bhurji 5382,203,6,21,9
veg,Dinner,salad,Sprouts Salad 5383,53,6,12,0
veg,Dinner,soup,Hot and Sour Soup 5384,67,8,5,2
veg,Lunch,dry_veg,Mix Veg Dry 5385,203,8,12,10
veg,Breakfast,beverage,Green Tea 5386,64,5,11,6
veg,Snack,beverage,Masala Chai 5387,90,0,22,5
veg,Snack,snack,Protein Bar 5388,198,14,29,8
veg,Snack,snack,Makhana 5389,181,9,18,7
veg,Snack,snack,Fruit Bowl 5390,293,6,25,0
veg,Lunch,beverage,Masala Chai 5391,52,2,18,7
veg,Snack,beverage,Masala Chai 5392,115,0,23,4
non-veg,Lunch,curry,Egg Curry 5393,393,14,25,18
veg,Dinner,soup,Manchow Soup 5394,143,2,5,4
veg,Lunch,salad,Kachumber Salad 5395,144,7,11,10
veg,Lunch,flatbread,Butter Naan 5396,190,5,15,3
veg,Lunch,rice,Brown Rice 5397,216,5,65,10
veg,Lunch,flatbread,Phulka 5398,241,5,38,1
veg,Lunch,salad,Corn Salad 5399,58,4,11,9
veg,Lunch,beverage,Banana Smoothie 5400,161,2,40,10
veg,Dinner,curry,Palak Paneer 5401,282,10,25,9
veg,Snack,beverage,Lemonade 5402,232,1,38,4
non-veg,Lunch,curry,Chicken Curry 5403,192,12,14,15
veg,Lunch,dry_veg,Beans Poriyal 5404,189,9,12,6
non-veg,Breakfast,breakfast_item,Omelette 5405,362,16,42,9
veg,Breakfast,beverage,Orange Juice 5406,182,0,32,1
veg,Lunch,flatbread,Missi Roti 5407,111,8,24,1
veg,Snack,beverage,Masala Chai 5408,174,4,40,9
veg,Dinner,flatbread,Kulcha 5409,150,8,20,8
veg,Lunch,curry,Malai Kofta 5410,321,16,28,21
veg,Lunch,beverage,Watermelon Juice 5411,120,4,15,4
non-veg,Dinner,curry,Butter Chicken 5412,272,6,13,17
veg,Dinner,salad,Sprouts Salad 5413,143,1,15,5
veg,Lunch,salad,Kachumber Salad 5414,58,3,15,7
veg,Breakfast,beverage,Watermelon Juice 5415,231,0,37,9
veg,Dinner,dry_veg,Aloo Gobi 5416,154,10,21,7
veg,Dinner,dry_veg,Beans Poriyal 5417,128,6,24,11
veg,Breakfast,breakfast_item,Pancakes 5418,323,5,39,17
veg,Breakfast,breakfast_item,Pancakes 5419,450,12,25,14
veg,Snack,snack,Dhokla 5420,119,11,19,14
veg,Snack,snack,Protein Bar 5421,183,10,29,13
veg,Lunch,beverage,Lassi 5422,249,5,30,6
veg,Dinner,flatbread,Paratha 5423,113,8,26,8
veg,Dinner,salad,Kachumber Salad 5424,84,8,14,7
non-veg,Snack,snack,Boiled Egg 5425,90,2,16,15
veg,Dinner,curry,Rajma Masala 5426,278,7,11,15
veg,Dinner,dry_veg,Aloo Gobi 5427,224,5,12,8
veg,Breakfast,breakfast_item,Pancakes 5428,423,9,22,7
veg,Breakfast,beverage,Watermelon Juice 5429,64,5,15,9
veg,Breakfast,beverage,Coconut Water 5430,107,2,23,10
non-veg,Dinner,soup,Chicken Clear Soup 5431,91,1,9,1
veg,Lunch,curry,Dal Tadka 5432,262,11,14,22
veg,Dinner,salad,Fruit Salad 5433,65,5,14,0
veg,Breakfast,beverage,Coconut Water 5434,115,0,33,0
veg,Snack,snack,Protein Bar 5435,130,4,25,14
veg,Lunch,flatbread,Garlic Naan 5436,241,6,35,1
veg,Lunch,beverage,Buttermilk (Chaas) 5437,89,0,12,4
non-veg,Breakfast,breakfast_item,Scrambled Eggs 5438,234,16,43,20
veg,Snack,snack,Protein Bar 5439,142,2,13,15
veg,Dinner,flatbread,Phulka 5440,233,8,30,3
non-veg,Lunch,curry,Fish Curry 5441,305,8,23,24
veg,Breakfast,breakfast_item,Veg Sandwich 5442,270,14,50,10
veg,Dinner,flatbread,Bhatura 5443,163,8,40,4
veg,Breakfast,beverage,Watermelon Juice 5444,195,0,18,0
veg,Dinner,soup,Clear Veg Soup 5445,130,6,5,3
veg,Snack,snack,Makhana 5446,186,4,12,15
veg,Dinner,dry_veg,Jeera Aloo 5447,114,5,17,11
veg,Lunch,curry,Mushroom Masala 5448,203,11,29,16
veg,Lunch,rice,Veg Biryani 5449,253,5,61,4
veg,Breakfast,breakfast_item,Aloo Paratha 5450,272,14,32,18
non-veg,Snack,snack,Boiled Egg 5451,64,12,18,11
veg,Dinner,salad,Cucumber Salad 5452,96,6,15,7
veg,Snack,snack,Greek Yogurt 5453,115,2,22,12
veg,Snack,snack,Roasted Nuts 5454,287,11,18,0
veg,Lunch,salad,Coleslaw 5455,125,8,5,0
veg,Breakfast,beverage,Green Tea 5456,95,0,36,10
veg,Lunch,curry,Mushroom Masala 5457,327,20,25,12
veg,Lunch,dry_veg,Mix Veg Dry 5458,232,3,16,7
veg,Lunch,flatbread,Methi Thepla 5459,168,5,39,10
veg,Breakfast,beverage,Watermelon Juice 5460,248,2,29,9
veg,Lunch,dry_veg,Paneer Bhurji 5461,135,3,18,6
veg,Snack,beverage,Lassi 5462,249,0,38,8
veg,Breakfast,breakfast_item,Veg Sandwich 5463,249,20,45,17
veg,Dinner,flatbread,Paratha 5464,239,5,23,6
veg,Lunch,curry,Chana Masala 5465,235,12,10,7
non-veg,Lunch,curry,Bhuna Gosht 5466,217,11,16,25
veg,Breakfast,breakfast_item,Muesli with Milk 5467,203,19,52,13
veg,Snack,snack,Dhokla 5468,125,12,25,3
veg,Lunch,flatbread,Methi Thepla 5469,194,2,30,9
veg,Lunch,curry,Malai Kofta 5470,348,20,16,15
veg,Dinner,soup,Manchow Soup 5471,142,1,10,3
veg,Dinner,dry_veg,Mix Veg Dry 5472,235,3,18,9
veg,Lunch,curry,Palak Paneer 5473,346,23,18,22
veg,Dinner,flatbread,Chapati 5474,194,4,26,2
veg,Lunch,beverage,Lassi 5475,127,0,37,1
veg,Breakfast,breakfast_item,Pancakes 5476,295,15,40,11
veg,Lunch,rice,Ghee Rice 5477,307,8,45,4
veg,Snack,snack,Roasted Nuts 5478,160,10,24,6
veg,Breakfast,breakfast_item,Veg Sandwich 5479,226,19,26,12
veg,Snack,beverage,Orange Juice 5480,57,2,11,6
veg,Dinner,soup,Pumpkin Soup 5481,110,3,6,4
veg,Dinner,flatbread,Roti 5482,102,2,15,4
veg,Snack,beverage,Mango Shake 5483,109,0,39,5
veg,Dinner,flatbread,Aloo Paratha 5484,157,5,36,2
veg,Breakfast,beverage,Coconut Water 5485,128,2,26,8
veg,Snack,beverage,Buttermilk (Chaas) 5486,75,5,12,9
veg,Snack,beverage,Filter Coffee 5487,246,5,31,8
non-veg,Lunch,rice,Chicken Biryani 5488,313,7,46,10
veg,Breakfast,breakfast_item,Masala Dosa 5489,359,11,29,15
non-veg,Lunch,curry,Bhuna Gosht 5490,331,8,21,13
veg,Breakfast,beverage,Filter Coffee 5491,69,2,10,9
veg,Lunch,rice,Jeera Rice 5492,245,7,52,10
veg,Breakfast,beverage,Filter Coffee 5493,153,0,27,10
veg,Dinner,soup,Manchow Soup 5494,114,6,11,1
veg,Snack,beverage,Orange Juice 5495,244,2,37,4
non-veg,Breakfast,breakfast_item,Scrambled Eggs 5496,374,8,40,11
veg,Breakfast,beverage,Coconut Water 5497,191,1,21,0
veg,Lunch,salad,Fruit Salad 5498,150,1,6,8
veg,Breakfast,breakfast_item,Idli Sambar 5499,496,20,40,11
veg,Snack,snack,Dhokla 5500,139,7,24,13
veg,Lunch,rice,Jeera Rice 5501,262,3,60,6
veg,Breakfast,beverage,Banana Smoothie 5502,132,2,15,8
veg,Lunch,salad,Coleslaw 5503,82,8,10,1
veg,Lunch,rice,Veg Biryani 5504,246,3,77,2
veg,Lunch,curry,Paneer Butter Masala 5505,330,7,13,19
veg,Snack,beverage,Orange Juice 5506,192,1,19,1
veg,Dinner,salad,Corn Salad 5507,31,1,15,9
veg,Snack,snack,Greek Yogurt 5508,237,10,20,10
veg,Lunch,dry_veg,Aloo Gobi 5509,225,8,13,6
veg,Breakfast,beverage,Lassi 5510,100,1,10,1
veg,Lunch,salad,Coleslaw 5511,67,7,13,10
veg,Lunch,flatbread,Methi Thepla 5512,137,7,36,8
veg,Breakfast,beverage,Lassi 5513,222,2,40,10
veg,Breakfast,beverage,Filter Coffee 5514,86,4,24,3
veg,Snack,beverage,Coconut Water 5515,213,3,10,7
non-veg,Lunch,rice,Chicken Biryani 5516,251,8,74,5
veg,Lunch,dry_veg,Potato Fry 5517,226,10,19,12
veg,Lunch,curry,Malai Kofta 5518,308,10,28,18
veg,Snack,beverage,Green Tea 5519,115,3,40,10
veg,Lunch,rice,Jeera Rice 5520,267,4,66,3
veg,Breakfast,breakfast_item,Cheese Toast 5521,490,19,55,8
non-veg,Lunch,rice,Chicken Biryani 5522,326,8,70,8
veg,Lunch,flatbread,Aloo Paratha 5523,113,7,34,5
veg,Snack,beverage,Buttermilk (Chaas) 5524,240,1,33,2
non-veg,Lunch,curry,Egg Curry 5525,284,6,22,22
veg,Lunch,dry_veg,Bhindi Fry 5526,187,2,15,13
veg,Lunch,beverage,Banana Smoothie 5527,93,5,17,7
veg,Lunch,curry,Mixed Vegetable Curry 5528,310,19,12,9
veg,Snack,beverage,Masala Chai 5529,119,5,27,1
veg,Dinner,soup,Tomato Soup 5530,143,7,13,4
veg,Lunch,flatbread,Aloo Paratha 5531,200,4,21,4
veg,Breakfast,beverage,Green Tea 5532,210,3,37,5
veg,Dinner,salad,Green Salad 5533,76,8,15,8
veg,Dinner,flatbread,Phulka 5534,88,2,26,9
veg,Dinner,flatbread,Phulka 5535,94,3,33,2
non-veg,Dinner,soup,Chicken Clear Soup 5536,127,8,11,4
veg,Dinner,soup,Hot and Sour Soup 5537,136,7,10,5
veg,Snack,snack,Roasted Nuts 5538,220,10,11,1
veg,Lunch,salad,Sprouts Salad 5539,100,5,14,0
veg,Snack,beverage,Orange Juice 5540,117,0,40,1
veg,Breakfast,breakfast_item,Veg Sandwich 5541,344,16,28,7
non-veg,Dinner,soup,Chicken Clear Soup 5542,135,7,5,1
veg,Snack,snack,Dhokla 5543,269,11,28,9
veg,Snack,snack,Greek Yogurt 5544,290,7,15,1
veg,Dinner,flatbread,Paratha 5545,187,6,31,5
veg,Lunch,beverage,Mango Shake 5546,192,3,22,7
veg,Lunch,rice,Curd Rice 5547,360,5,76,10
non-veg,Dinner,soup,Chicken Clear Soup 5548,143,8,14,3
veg,Dinner,curry,Dal Tadka 5549,343,6,25,19
veg,Dinner,flatbread,Missi Roti 5550,196,5,24,2
veg,Lunch,flatbread,Butter Naan 5551,138,8,21,1
veg,Snack,beverage,Lemonade 5552,176,2,29,3
veg,Lunch,beverage,Lemonade 5553,184,2,36,10
veg,Dinner,soup,Tomato Soup 5554,81,1,6,4
veg,Snack,beverage,Lassi 5555,142,4,22,7
veg,Lunch,rice,Curd Rice 5556,382,4,66,7
veg,Lunch,curry,Mixed Vegetable Curry 5557,368,6,12,18
veg,Breakfast,breakfast_item,Veg Sandwich 5558,325,19,25,19
veg,Lunch,flatbread,Roti 5559,184,2,37,1
veg,Dinner,salad,Chickpea Salad 5560,79,4,8,3
veg,Breakfast,breakfast_item,Oats Porridge 5561,345,17,59,17
veg,Snack,beverage,Green Tea 5562,224,4,19,5
veg,Snack,beverage,Coconut Water 5563,73,5,12,2
veg,Lunch,salad,Corn Salad 5564,75,5,5,2
veg,Breakfast,breakfast_item,Besan Chilla 5565,282,12,38,19
veg,Snack,snack,Roasted Nuts 5566,157,12,28,6
non-veg,Lunch,rice,Chicken Biryani 5567,253,5,80,4
veg,Lunch,beverage,Orange Juice 5568,239,0,11,2
veg,Snack,beverage,Watermelon Juice 5569,70,4,21,10
veg,Breakfast,beverage,Buttermilk (Chaas) 5570,160,0,28,10
veg,Breakfast,breakfast_item,Upma 5571,463,19,23,9
veg,Dinner,salad,Green Salad 5572,145,6,8,0
veg,Lunch,dry_veg,Aloo Gobi 5573,120,7,22,11
veg,Lunch,beverage,Coconut Water 5574,188,2,32,9
veg,Lunch,curry,Mixed Vegetable Curry 5575,206,22,11,5
veg,Breakfast,beverage,Masala Chai 5576,243,5,34,4
veg,Lunch,rice,Khichdi 5577,371,6,66,9
veg,Lunch,dry_veg,Paneer Bhurji 5578,181,10,13,7
veg,Dinner,dry_veg,Potato Fry 5579,132,3,15,8
veg,Breakfast,beverage,Lassi 5580,229,3,37,8
veg,Dinner,curry,Sambar 5581,281,23,16,9
veg,Lunch,salad,Coleslaw 5582,44,2,5,0
veg,Lunch,rice,Khichdi 5583,348,8,80,10
veg,Breakfast,breakfast_item,Besan Chilla 5584,456,6,21,7
veg,Snack,beverage,Coconut Water 5585,200,2,24,10
non-veg,Dinner,curry,Egg Curry 5586,314,11,28,9
non-veg,Breakfast,breakfast_item,Scrambled Eggs 5587,392,5,34,17
veg,Breakfast,beverage,Coconut Water 5588,99,4,21,7
veg,Dinner,salad,Sprouts Salad 5589,56,6,7,6
veg,Breakfast,beverage,Banana Smoothie 5590,206,5,23,5
veg,Dinner,flatbread,Chapati 5591,151,2,19,9
veg,Snack,beverage,Lassi 5592,56,0,19,7
veg,Snack,snack,Protein Bar 5593,67,7,18,2
veg,Lunch,dry_veg,Mix Veg Dry 5594,170,6,18,6
veg,Lunch,curry,Malai Kofta 5595,343,24,16,25
veg,Snack,beverage,Filter Coffee 5596,212,1,12,5
veg,Breakfast,breakfast_item,Aloo Paratha 5597,422,17,37,20
veg,Breakfast,breakfast_item,Puri Bhaji 5598,434,10,34,14
veg,Breakfast,beverage,Green Tea 5599,145,1,35,2
veg,Breakfast,breakfast_item,Veg Sandwich 5600,329,5,48,5
veg,Dinner,salad,Coleslaw 5601,64,6,14,5
veg,Lunch,salad,Coleslaw 5602,45,7,11,7
veg,Dinner,curry,Mushroom Masala 5603,329,16,20,24
veg,Dinner,dry_veg,Paneer Bhurji 5604,243,5,18,12
veg,Lunch,beverage,Banana Smoothie 5605,70,5,22,7
veg,Dinner,curry,Dal Tadka 5606,160,24,24,15
veg,Snack,beverage,Coconut Water 5607,159,0,11,7
veg,Snack,beverage,Banana Smoothie 5608,162,5,22,5
non-veg,Snack,snack,Boiled Egg 5609,182,10,11,13
veg,Lunch,dry_veg,Baingan Bharta 5610,145,2,23,6
veg,Dinner,salad,Greek Salad 5611,64,2,13,10
veg,Dinner,dry_veg,Cabbage Sabzi 5612,161,4,25,14
veg,Lunch,beverage,Green Tea 5613,186,3,37,10
veg,Dinner,dry_veg,Paneer Bhurji 5614,160,10,14,12
veg,Breakfast,beverage,Buttermilk (Chaas) 5615,118,1,31,5
non-veg,Dinner,soup,Chicken Clear Soup 5616,98,1,10,3
veg,Dinner,salad,Greek Salad 5617,144,2,12,7
veg,Snack,snack,Bhel Puri 5618,259,9,26,5
veg,Dinner,curry,Palak Paneer 5619,297,24,22,24
non-veg,Lunch,rice,Chicken Biryani 5620,261,8,48,5
veg,Lunch,flatbread,Bhatura 5621,241,3,24,2
veg,Snack,snack,Roasted Nuts 5622,163,6,30,5
veg,Breakfast,breakfast_item,Oats Porridge 5623,278,12,24,9
non-veg,Dinner,curry,Egg Curry 5624,293,11,15,19
veg,Breakfast,breakfast_item,Masala Dosa 5625,266,5,58,20
veg,Breakfast,beverage,Orange Juice 5626,239,3,26,1
veg,Dinner,flatbread,Butter Naan 5627,194,3,23,7
veg,Lunch,flatbread,Butter Naan 5628,116,6,26,8
veg,Lunch,salad,Kachumber Salad 5629,51,1,14,9
veg,Snack,snack,Dhokla 5630,233,15,22,1
veg,Dinner,curry,Dal Fry 5631,328,21,22,23
veg,Dinner,dry_veg,Bhindi Fry 5632,243,2,16,9
veg,Breakfast,beverage,Masala Chai 5633,235,3,19,7
veg,Breakfast,beverage,Lemonade 5634,130,5,10,4
veg,Dinner,salad,Coleslaw 5635,95,4,9,4
veg,Snack,snack,Popcorn 5636,86,11,25,6
veg,Dinner,soup,Manchow Soup 5637,107,5,15,3
veg,Lunch,curry,Malai Kofta 5638,191,22,28,25
veg,Snack,snack,Dhokla 5639,57,10,24,9
veg,Dinner,dry_veg,Paneer Bhurji 5640,174,3,24,15
veg,Breakfast,beverage,Lemonade 5641,159,5,17,10
veg,Lunch,curry,Paneer Butter Masala 5642,272,14,20,25
veg,Lunch,flatbread,Kulcha 5643,132,7,36,7
veg,Dinner,curry,Malai Kofta 5644,179,12,28,6
veg,Dinner,flatbread,Paratha 5645,237,2,30,4
veg,Snack,snack,Fruit Bowl 5646,51,4,11,4
veg,Lunch,beverage,Lemonade 5647,167,0,24,6
veg,Dinner,dry_veg,Beans Poriyal 5648,103,4,19,6
veg,Dinner,flatbread,Bhatura 5649,191,7,36,3
veg,Breakfast,beverage,Orange Juice 5650,235,1,25,1
veg,Snack,beverage,Mango Shake 5651,236,3,33,9
veg,Snack,beverage,Lemonade 5652,181,0,11,10
veg,Snack,beverage,Lemonade 5653,188,4,13,9
veg,Breakfast,breakfast_item,Oats Porridge 5654,481,7,52,16
veg,Lunch,dry_veg,Baingan Bharta 5655,179,3,21,11
veg,Breakfast,beverage,Lassi 5656,168,4,13,8
veg,Lunch,beverage,Banana Smoothie 5657,213,3,18,10
veg,Snack,beverage,Mango Shake 5658,57,4,35,0
veg,Breakfast,beverage,Filter Coffee 5659,55,5,14,10
veg,Lunch,flatbread,Butter Naan 5660,202,7,39,7
veg,Breakfast,breakfast_item,Idli Sambar 5661,408,8,55,13
veg,Lunch,flatbread,Paratha 5662,249,5,24,3
non-veg,Lunch,curry,Bhuna Gosht 5663,189,17,13,15
veg,Snack,snack,Greek Yogurt 5664,62,13,12,7
non-veg,Breakfast,breakfast_item,Scrambled Eggs 5665,334,8,20,12
veg,Lunch,curry,Malai Kofta 5666,196,9,13,22
veg,Snack,beverage,Orange Juice 5667,207,2,31,3
non-veg,Lunch,curry,Egg Curry 5668,354,12,17,22
veg,Snack,snack,Bhel Puri 5669,104,13,16,8
veg,Breakfast,beverage,Green Tea 5670,195,0,11,7
veg,Snack,snack,Roasted Nuts 5671,202,11,8,6
veg,Dinner,dry_veg,Mix Veg Dry 5672,139,9,11,8
veg,Lunch,rice,Khichdi 5673,268,7,52,2
veg,Snack,snack,Popcorn 5674,102,13,11,2
veg,Snack,beverage,Masala Chai 5675,75,5,23,7
veg,Breakfast,beverage,Filter Coffee 5676,227,1,32,1
veg,Breakfast,breakfast_item,Aloo Paratha 5677,374,7,50,18
veg,Dinner,flatbread,Garlic Naan 5678,233,7,40,8
veg,Lunch,beverage,Buttermilk (Chaas) 5679,190,4,24,9
veg,Snack,beverage,Masala Chai 5680,137,3,25,0
veg,Dinner,salad,Coleslaw 5681,109,8,8,10
veg,Lunch,flatbread,Kulcha 5682,198,6,38,7
veg,Dinner,flatbread,Paratha 5683,202,2,25,7
veg,Snack,beverage,Green Tea 5684,236,3,14,6
veg,Lunch,beverage,Orange Juice 5685,229,4,36,7
veg,Snack,beverage,Lassi 5686,71,2,27,0
veg,Dinner,curry,Mushroom Masala 5687,253,14,21,15
veg,Lunch,flatbread,Missi Roti 5688,220,8,15,4
veg,Dinner,dry_veg,Cabbage Sabzi 5689,149,9,11,9
veg,Breakfast,breakfast_item,Upma 5690,258,9,37,19
veg,Lunch,curry,Rajma Masala 5691,349,20,23,6
veg,Breakfast,beverage,Coconut Water 5692,115,5,26,5
veg,Breakfast,beverage,Lassi 5693,167,1,10,4
veg,Dinner,salad,Fruit Salad 5694,142,5,8,7
veg,Lunch,beverage,Banana Smoothie 5695,152,5,14,5
veg,Snack,snack,Bhel Puri 5696,56,5,23,6
veg,Lunch,beverage,Masala Chai 5697,113,4,28,10
veg,Breakfast,breakfast_item,Pancakes 5698,453,11,32,5
veg,Lunch,rice,Peas Pulao 5699,393,5,75,10
non-veg,Dinner,curry,Bhuna Gosht 5700,393,10,15,8
veg,Dinner,dry_veg,Aloo Gobi 5701,207,9,17,11
veg,Lunch,rice,Brown Rice 5702,287,6,71,7
veg,Lunch,flatbread,Chapati 5703,87,4,22,10
veg,Lunch,salad,Green Salad 5704,147,8,9,5
non-veg,Dinner,soup,Chicken Clear Soup 5705,74,2,5,3
veg,Dinner,curry,Mushroom Masala 5706,228,12,29,24
veg,Snack,beverage,Buttermilk (Chaas) 5707,115,3,13,4
veg,Dinner,salad,Green Salad 5708,84,4,5,10
veg,Snack,beverage,Mango Shake 5709,60,0,38,3
veg,Lunch,beverage,Lassi 5710,90,3,36,0
veg,Breakfast,beverage,Lassi 5711,229,2,28,6
veg,Breakfast,beverage,Green Tea 5712,163,2,10,7
veg,Lunch,dry_veg,Paneer Bhurji 5713,198,6,11,15
veg,Snack,beverage,Filter Coffee 5714,197,0,19,8
veg,Dinner,curry,Rajma Masala 5715,168,5,25,15
non-veg,Lunch,rice,Chicken Biryani 5716,238,6,41,9
veg,Snack,snack,Roasted Nuts 5717,274,9,22,6
non-veg,Lunch,curry,Bhuna Gosht 5718,184,21,14,5
veg,Snack,beverage,Masala Chai 5719,62,1,31,4
veg,Breakfast,breakfast_item,Pancakes 5720,225,7,21,16
veg,Snack,beverage,Watermelon Juice 5721,108,0,17,5
veg,Breakfast,beverage,Masala Chai 5722,105,0,30,7
veg,Dinner,dry_veg,Mix Veg Dry 5723,173,7,18,8
non-veg,Lunch,curry,Bhuna Gosht 5724,207,10,17,25
veg,Snack,beverage,Lemonade 5725,200,4,12,9
veg,Lunch,beverage,Banana Smoothie 5726,122,3,13,6
veg,Lunch,curry,Palak Paneer 5727,206,12,17,14
veg,Dinner,dry_veg,Beans Poriyal 5728,101,5,11,10
veg,Breakfast,beverage,Filter Coffee 5729,103,3,28,4
veg,Breakfast,breakfast_item,Puri Bhaji 5730,319,20,26,20
veg,Breakfast,beverage,Banana Smoothie 5731,192,3,29,7
veg,Lunch,dry_veg,Jeera Aloo 5732,134,2,12,12
non-veg,Snack,snack,Boiled Egg 5733,162,14,5,4
veg,Breakfast,breakfast_item,Aloo Paratha 5734,200,10,40,19
veg,Breakfast,breakfast_item,Upma 5735,449,10,21,9
veg,Lunch,curry,Palak Paneer 5736,276,13,15,16
veg,Snack,snack,Popcorn 5737,290,8,30,3
non-veg,Snack,snack,Boiled Egg 5738,155,3,17,10
veg,Breakfast,breakfast_item,Upma 5739,263,11,27,11
veg,Lunch,flatbread,Butter Naan 5740,81,2,18,9
veg,Breakfast,breakfast_item,Cheese Toast 5741,321,15,60,17
veg,Lunch,salad,Corn Salad 5742,131,2,6,2
veg,Snack,snack,Roasted Nuts 5743,165,3,29,14
veg,Breakfast,beverage,Coconut Water 5744,234,3,35,10
veg,Lunch,salad,Kachumber Salad 5745,111,7,10,0
veg,Lunch,salad,Cucumber Salad 5746,104,6,9,4
veg,Breakfast,beverage,Mango Shake 5747,228,2,29,9
veg,Snack,snack,Makhana 5748,257,14,17,6
veg,Breakfast,breakfast_item,Veg Sandwich 5749,397,19,25,5
veg,Lunch,flatbread,Paratha 5750,230,6,30,10
veg,Lunch,beverage,Orange Juice 5751,234,5,16,3
veg,Lunch,salad,Green Salad 5752,116,8,5,8
veg,Snack,beverage,Banana Smoothie 5753,154,4,30,5
veg,Breakfast,breakfast_item,Pancakes 5754,289,5,40,8
veg,Breakfast,beverage,Masala Chai 5755,156,2,25,5
veg,Dinner,flatbread,Aloo Paratha 5756,99,4,17,3
veg,Lunch,rice,Veg Biryani 5757,364,4,55,5
veg,Lunch,dry_veg,Baingan Bharta 5758,106,10,13,5
veg,Breakfast,breakfast_item,Upma 5759,344,11,60,11
veg,Lunch,salad,Cucumber Salad 5760,119,2,6,10
veg,Dinner,salad,Cucumber Salad 5761,42,8,8,2
non-veg,Dinner,curry,Butter Chicken 5762,246,5,29,18
veg,Breakfast,beverage,Masala Chai 5763,136,3,15,1
veg,Dinner,salad,Fruit Salad 5764,76,8,12,10
veg,Snack,beverage,Green Tea 5765,163,2,18,6
veg,Dinner,dry_veg,Mix Veg Dry 5766,131,2,17,14
veg,Breakfast,breakfast_item,Puri Bhaji 5767,249,19,20,19
veg,Lunch,flatbread,Aloo Paratha 5768,233,5,22,2
veg,Lunch,beverage,Mango Shake 5769,72,1,29,4
veg,Breakfast,breakfast_item,Besan Chilla 5770,292,5,50,10
veg,Breakfast,beverage,Buttermilk (Chaas) 5771,204,0,34,6
veg,Dinner,flatbread,Kulcha 5772,151,7,20,8
veg,Lunch,curry,Dal Fry 5773,277,14,23,25
veg,Lunch,dry_veg,Bhindi Fry 5774,180,6,20,7
